"gencodeID","Symbol","logFC","t","P.Value","adj.P.Val","B","ensemblID","Length","gene_type","EntrezID","AveExpr"
"ENSMUSG00000029632.7","Ndufa4",-3.26854197060904,-28.3505078107449,4.54252460085466e-11,5.95083057660997e-07,14.6855279389941,"ENSMUSG00000029632",1381,"protein_coding",17992,5.85588553944982
"ENSMUSG00000024758.14","Rtn3",-1.64067216017505,-27.6056269870287,5.94734944339509e-11,5.95083057660997e-07,15.8222344158696,"ENSMUSG00000024758",5030,"protein_coding",20168,9.99768956604782
"ENSMUSG00000026879.14","Gsn",3.9784629586725,26.7900052822429,8.05472465702487e-11,5.95083057660997e-07,14.6219227606909,"ENSMUSG00000026879",3157,"protein_coding",227753,6.18948206950581
"ENSMUSG00000021097.14","Clmn",4.12220965580768,23.9247733846707,2.52295191396584e-10,1.05756463191963e-06,13.9661847710597,"ENSMUSG00000021097",11962,"protein_coding",94040,6.63602483926438
"ENSMUSG00000000631.20","Myo18a",1.56534233155392,23.0962716340622,3.5979312296817e-10,1.05756463191963e-06,14.0006312710667,"ENSMUSG00000000631",16037,"protein_coding",360013,8.21855186965829
"ENSMUSG00000054808.14","Actn4",3.99148403776231,23.0669840428419,3.64417402151381e-10,1.05756463191963e-06,13.8974146007753,"ENSMUSG00000054808",6061,"protein_coding",60595,7.48508971860164
"ENSMUSG00000025278.8","Flnb",3.43152391206456,22.9757812220421,3.79239892403258e-10,1.05756463191963e-06,13.0759057382736,"ENSMUSG00000025278",9100,"protein_coding",286940,5.50133824638333
"ENSMUSG00000036564.17","Ndrg4",-0.982064699368158,-22.9608829387842,3.81723382753881e-10,1.05756463191963e-06,13.9790804189385,"ENSMUSG00000036564",4893,"protein_coding",234593,11.01552064756
"ENSMUSG00000004207.14","Psap",-1.48563390220963,-22.4030416960726,4.88864536437877e-10,1.20391039840101e-06,13.761560741847,"ENSMUSG00000004207",2744,"protein_coding",19156,10.0503551090914
"ENSMUSG00000052374.14","Actn2",5.230728353292,21.9594314103603,5.97700350526461e-10,1.25087804730009e-06,11.9440646782363,"ENSMUSG00000052374",3694,"protein_coding",11472,4.72941640359242
"ENSMUSG00000047459.14","Dynlrb1",-2.76636733348744,-21.8766583189338,6.20811158649204e-10,1.25087804730009e-06,12.6587712752126,"ENSMUSG00000047459",1009,"protein_coding",67068,5.39261794689709
"ENSMUSG00000005417.17","Mprip",4.60794819834586,21.5727558792912,7.14446419682016e-10,1.31958253715268e-06,13.3818860287149,"ENSMUSG00000005417",13327,"protein_coding",26936,10.6388333237238
