"Direction","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","Ontology"
"-1","GO:0050806","positive regulation of synaptic transmission","20/261","149/13584",7.83522954362268e-12,2.37172398285459e-08,2.03633492033731e-08,"Calb1/Tac1/Rasgrf2/Erbb4/Gria4/Gria1/Rab3b/Ntrk2/Syt1/Tnr/Abat/Lrrtm2/Hap1/Clstn3/Grin2b/Crhr2/App/Clstn1/Neto1/Htr2c",20,"BP"
"-1","GO:0043679","axon terminus","19/266","164/13738",4.07036128746083e-10,9.52535132539071e-08,7.44018390484759e-08,"Calb1/Gria4/Ntrk2/Syt1/Kcnc2/Oprd1/Hap1/L1cam/Slc9a6/Syt11/Grin2b/Pvalb/Crhr2/Dpysl2/App/Synj2/Sv2a/Gria3/Kcnk2",19,"CC"
"-1","GO:0030424","axon","32/266","471/13738",6.06710275502593e-10,9.52535132539071e-08,7.44018390484759e-08,"Calb1/Tac1/Robo1/Slc6a1/Gria4/Gria1/Ntrk2/Alk/Kcnc1/Syt1/Fez1/Kcnc2/Kirrel3/L1cam/Slc9a6/Syt11/Dcc/Grin2b/Pvalb/Crhr2/Gpm6a/Atp1a3/Whrn/Dlg2/Dpysl2/Sdc3/App/Gfra1/Cntnap2/Sv2a/Gria3/Kcnk2",32,"CC"
"-1","GO:0033267","axon part","21/266","219/13738",1.61642472407843e-09,1.29915681756106e-07,1.01476211361624e-07,"Calb1/Robo1/Gria4/Gria1/Ntrk2/Kcnc1/Syt1/Kcnc2/L1cam/Slc9a6/Syt11/Grin2b/Pvalb/Crhr2/Gpm6a/Dlg2/Dpysl2/App/Cntnap2/Sv2a/Gria3",21,"CC"
"-1","GO:0044306","neuron projection terminus","19/266","178/13738",1.65497683765740e-09,1.29915681756106e-07,1.01476211361624e-07,"Calb1/Gria4/Ntrk2/Syt1/Kcnc2/Oprd1/Hap1/L1cam/Slc9a6/Syt11/Grin2b/Pvalb/Crhr2/Dpysl2/App/Synj2/Sv2a/Gria3/Kcnk2",19,"CC"
"-1","GO:0098794","postsynapse","30/266","446/13738",2.75595122151625e-09,1.7307373671122e-07,1.35186659918586e-07,"Calb1/Erbb4/Pcdh8/Gria4/Gria1/Ntrk2/Gabbr2/Myo5b/Cacng2/Kcnc2/Lrrtm2/Oprd1/Dlgap2/Ppp1cc/Clstn3/Syt11/Adgrb1/Adgrb3/Grin2b/Akap5/Camk2g/Atp1a3/Cacng8/Bcr/Dlg2/Map4/Dlgap1/Clstn1/Neto1/Gria3",30,"CC"
"-1","GO:0050808","synapse organization","24/261","260/13584",1.95126317485547e-10,2.95323681514375e-07,2.53561514669376e-07,"Ntrk3/Erbb4/Ntrk2/Elfn1/Tnr/Cacng2/Kirrel3/Lrrtm2/L1cam/Slc9a6/Slitrk2/Clstn3/Adgrb1/Adgrb3/Etv5/Gpm6a/Pcdh17/Slitrk1/Ptprd/App/Pcdhgc4/Sez6l2/Clstn1/Mef2c",24,"BP"
"-1","GO:0048667","cell morphogenesis involved in neuron differentiation","33/261","494/13584",3.97524472698842e-10,4.01102192953132e-07,3.44381727401208e-07,"Ntrk3/Trpc6/Robo1/Ntrk2/Tnr/Myo5b/Zeb2/Matn2/Plxna4/Fez1/Chl1/Slit1/L1cam/Slc9a6/Slitrk2/Cit/Adgrb3/Dcc/Akap5/Lrrn2/Whrn/Efnb3/Tmem106b/Unc5d/Slitrk1/Dpysl2/Tubb2b/Pak3/Ptprd/App/Cxcr4/Ripor2/Mef2c",33,"BP"
"-1","GO:0050804","modulation of chemical synaptic transmission","26/261","320/13584",5.45348120005183e-10,4.12692189813922e-07,3.5433276534021e-07,"Calb1/Tac1/Rasgrf2/Erbb4/Slc6a1/Gria4/Gria1/Rab3b/Ntrk2/Shisa7/Syt1/Tnr/Abat/Lrrtm2/Hap1/Clstn3/Vgf/Adgrb1/Grin2b/Crhr2/Pcdh17/App/Clstn1/Neto1/Htr2c/Mef2c",26,"BP"
"-1","GO:0097060","synaptic membrane","23/266","292/13738",1.19525725848277e-08,6.25517965272651e-07,4.88587616186818e-07,"Pcdh8/Gria4/Gria1/Ntrk2/Gabbr2/Syt1/Cacng2/Kcnc2/Lrrtm2/Oprd1/Dlgap2/L1cam/Clstn3/Syt11/Grin2b/Akap5/Cacng8/Bcr/Dlg2/Dlgap1/Clstn1/Neto1/Gria3",23,"CC"
