"","OR","p.value","adj.P.Val","setSize","numSig","ID","sigGenes"
"Dystonia",6.48394253500636,7.44294955792282e-23,7.84486883405065e-20,220,28,"MESH:D004421","APP;NTRK2;ATF3;MAPK3;JUN;ASNS;HMGCS1;RGS2;FOSL2;BDNF;ACHE;GRIA1;GRIN2B;CNR1;FOSB;GAD1;TAC1;RELN;HTR2C;PVALB;PDYN;OPRD1;GRIA3;EFNB3;SNAP25;GNAL;ATP1A3;KCNJ6"
"Chorea",7.68,3.59192843530822e-18,3.78230064237955e-15,125,18,"MESH:D002819","MAPK3;JUN;HMGCS1;RGS2;FOSL2;BDNF;ACHE;GRIA1;GRIN2B;CNR1;FOSB;GAD1;TAC1;RELN;HTR2C;PDYN;GABBR2;KCNJ6"
"Xerostomia",7.98441396508728,6.6139349481309e-18,6.95785956543371e-15,113,17,"MESH:D014987","NTRK2;MAPK3;JUN;ASNS;HMGCS1;BDNF;GRIA1;GRIN2B;CNR1;FOSB;GAD1;TAC1;HTR2C;PDYN;GRIA3;NPTX2;KCNJ6"
"Mood Disorders",3.88320035460993,5.50992243193854e-17,5.79092847596741e-14,491,42,"MESH:D019964","GALNT16;TGFB3;RHOB;XDH;APP;LPL;TGFBR2;IGFBP4;DUSP10;NREP;NEFH;NTRK2;PTGS1;BCL2L11;SPP1;GPX3;MAPK3;JUN;ASNS;HMGCS1;RGS2;FOSL2;BDNF;GRIA1;GRIN2B;CNR1;FOSB;GAD1;TAC1;RELN;HTR2C;PVALB;GRIA3;EFNB3;NPTX2;ABAT;PRKACB;GDF10;SYT1;ATP1A3;SYT11;KCNJ6"
"Hypothermia",2.9503183834061,1.18238061324739e-16,1.24149964390975e-13,1086,71,"MESH:D007035","CHGB;ANXA5;IFRD1;TGFB3;TCF4;XDH;APP;LPL;CXCR4;TIMP3;TGFBR2;MTHFD2;EIF2AK3;NRG1;CLDN1;ARHGAP5;NEFH;NTRK2;CD47;CALB1;ABCA1;PTGS1;BCL2L11;ATF3;MAPK9;GPX3;ATF4;MAPK3;JUN;ASNS;HMGCS1;RGS2;FOSL2;BDNF;ACHE;VGF;CARTPT;GRIA1;GRIN2B;CNR1;FOSB;GAD1;TAC1;RELN;HTR2C;PVALB;PDYN;OPRD1;GRIA3;EFNB3;NPTX2;DPYSL2;ABAT;NRN1;PRKACB;ADCY2;GPT2;ETS1;LRP1;MEF2C;ADCY1;AP2B1;CLSTN1;GNAL;GABBR2;GRIA4;SLC6A1;KCNJ4;SYT11;PCSK1N;KCNJ6"
"Stereotypic Movement Disorder",6.13842454774445,1.70009351021791e-16,1.78339809221859e-13,148,21,"MESH:D019956","NTRK2;MAPK3;JUN;HMGCS1;RGS2;FOSL2;BDNF;GRIA1;GRIN2B;CNR1;FOSB;GAD1;TAC1;RELN;HTR2C;PVALB;PDYN;MEF2C;SYT11;PCSK1N;KCNIP3"
"Cocaine-Related Disorders",3.53627487331603,6.28656746786613e-16,6.58832270632371e-13,604,46,"MESH:D019970","SERPINE2;XDH;APP;LPL;TGFBR2;EIF2AK3;NEFH;NTRK2;PTGS1;BCL2L11;ATF3;MAPK9;GPX3;ATF4;MAPK3;JUN;HMGCS1;RGS2;FOSL2;BDNF;ACHE;ACE;CARTPT;GRIA1;GRIN2B;CNR1;FOSB;GAD1;TAC1;RELN;HTR2C;PVALB;PDYN;OPRD1;GRIA3;EFNB3;NPTX2;SNAP25;ABAT;EIF4G2;L1CAM;CRHR2;GABBR2;SLC6A1;ADRA1D;KCNJ6"
"Bipolar Disorder",4.18102372034956,9.77608870737234e-16,1.02355648766188e-12,380,34,"MESH:D001714","APP;LPL;NEFH;NTRK2;ATF3;GPX3;ATF4;MAPK3;JUN;ASNS;HMGCS1;RGS2;FOSL2;BDNF;ACHE;VGF;GRIA1;GRIN2B;CNR1;FOSB;GAD1;TAC1;RELN;HTR2C;PVALB;PDYN;OPRD1;GRIA3;EFNB3;SNAP25;ABAT;NRN1;PCSK1N;KCNJ6"
"Movement Disorders",2.36094217312288,2.93978519829776e-15,3.07501531741946e-12,2395,120,"MESH:D009069","SLC27A2;FAT1;ANXA5;IFRD1;DUSP5;SERPINE2;TCF4;RHOB;SFRP2;FAM129A;RBP4;XDH;APP;LPL;CXCR4;TIMP3;TGFBR2;IGFBP4;MTHFD2;EIF2AK3;GFRA1;NRG1;CLDN1;DUSP10;NREP;ARHGAP5;NEFH;NTRK2;CD47;HTRA1;NUDT4;LAMB1;CALB1;ABCA1;PTGS1;BCL2L11;ATF3;SPP1;MAPK9;GPX3;ATF4;MAPK3;JUN;ASNS;HMGCS1;RGS2;FOSL2;BDNF;ACHE;ACE;AGTR1;DOK4;VGF;CARTPT;GRIA1;GRIN2B;CNR1;FOSB;GAD1;TAC1;RELN;HTR2C;PVALB;PDYN;OPRD1;GRIA3;EFNB3;NPTX2;SNAP25;PHKA2;PRMT2;GNG4;DPYSL2;ABAT;RASGRP1;NRN1;GUCY1A3;PRKACB;ADCYAP1;EIF4G2;PAK3;DDAH1;PRSS23;SPARCL1;PEA15;SPRY2;PDZD2;CREB3;MAP4;IFIT3;LRP1;MEF2C;PC;PFKP;EFHD2;NR4A3;FAM65B;SYT1;GNB4;BTBD11;SLC7A1;L1CAM;SYNGR3;LAPTM4B;TMTC4;NTRK3;KLF12;GABBR2;GRIA4;PNOC;ATP1A3;LYPD6;CREG2;SLC6A1;ADRA1D;KCNJ4;KCNA4;SYT11;RPH3A;KCNJ6"
"Pericardial Effusion",2.81726415347105,3.73828631472526e-15,3.9065091988879e-12,1142,70,"MESH:D010490","PCDH17;SLC27A2;DUSP5;SERPINE2;TCF4;RHOB;SFRP2;XDH;APP;LPL;CXCR4;TIMP3;MTHFD2;LGALS1;EIF2AK3;NRG1;DUSP10;ERBB4;WT1;CALB1;ABCA1;PTGS1;BCL2L11;ATF3;SPP1;MAPK9;GPX3;ATF4;MAPK3;JUN;ASNS;HMGCS1;RGS2;FOSL2;BDNF;ACE;VGF;GRIA1;CNR1;FOSB;GAD1;TAC1;RELN;NPTX2;DPYSL2;PRKACB;PAK3;SCPEP1;ARHGAP26;ETS1;IFIT3;MEF2C;SYNJ2;FAM65B;ADCY1;ELMO1;RGS17;IRF6;ALPK2;TMTC1;USP25;MFAP3L;PAQR8;TYRO3;HDAC9;STXBP2;PCSK1;PCDH8;PCDH19;VAT1L"
