"Cluster","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"IP","CC","GO:0033267","axon part","49/425","409/13939",1.41512162356934e-16,6.62276919830452e-14,4.49859716124149e-14,"Nav1/Sptan1/Scn1a/Gad1/Zfp804a/Map1a/Slc32a1/Kcnab1/Kcna2/Calb1/Unc13b/Grik3/Oprd1/Pclo/Cplx1/Nos1/Ppp1r9a/Cntnap2/Npy/Atp1a3/Sptbn4/Kcnc3/Myh14/Kcnc1/Shank2/Ank1/Unc13a/Gria4/Bsn/Utrn/Ank3/Kcnc2/Inpp5j/Sptbn1/Gria1/Myh10/Nin/Dbn1/Crhbp/Map1b/Hcn1/Scn8a/Robo1/Grik1/Itsn1/Mapk8ip3/Epb41l3/Apc/Got1",49
"IP","CC","GO:0097060","synaptic membrane","50/425","468/13939",7.27698905956455e-15,1.70281543993811e-12,1.15665826104658e-12,"Erbb4/Srgap2/Dnm3/Scn1a/Rims4/Kcna2/Ank2/Unc13b/Mpdz/Grik3/Oprd1/Cntnap2/Grip2/Slc6a1/Iqsec3/Clstn3/Atp1a3/Shank1/Kcnc3/Grin2d/Kcnc1/Ntrk3/Shank2/Dlgap2/Ank1/Unc13a/Cacna1a/Cntnap4/Gria4/Bsn/Syne1/Grm1/Ank3/Kcnc2/Grip1/Gria1/Cltc/Srcin1/Nrxn3/Actn2/Dbn1/Adra1a/Cdh9/Shank3/Scn8a/Grik1/Dlgap1/Cpeb3/Dmd/Iqsec2",50
"Input","CC","GO:0022626","cytosolic ribosome","23/397","104/13939",1.256109419301e-14,4.98675439462499e-12,3.29232889901e-12,"Rpl35/Rps3a1/Rpl34/Rps6/Rps8/Rpl9/Rplp0/Rps17/Rpl27a/Rplp2/Rpl13/Rplp1/Rpsa/Rpl14/Rps15/Rpl26/Rps7/Rps23/Rps24/Rpl37/Apod/Rps2/Rps4x",23
"IP","CC","GO:0044304","main axon","20/425","80/13939",2.03240127960147e-13,3.1705459961783e-11,2.15363223312156e-11,"Nav1/Sptan1/Scn1a/Map1a/Kcnab1/Kcna2/Cntnap2/Sptbn4/Kcnc3/Kcnc1/Ank1/Ank3/Kcnc2/Sptbn1/Crhbp/Map1b/Scn8a/Robo1/Mapk8ip3/Epb41l3",20
"IP","BP","GO:0050804","modulation of chemical synaptic transmission","47/425","460/13697",4.8939762321364e-13,9.39130941602843e-10,8.33791556793854e-10,"Erbb4/Syt2/Map1a/Usp8/Rims4/Calb1/Unc13b/Slc24a2/Rab3b/Grik3/Reln/Cplx1/Nos1/Vgf/Ppp1r9a/Tac1/Oxtr/Slc6a1/Clstn3/Vamp1/Shank1/Kcnc3/Grin2d/Shank2/Dlgap2/Unc13a/Cacna1a/Cntnap4/Gria4/Kmt2a/Cacna2d2/Syne1/Grm1/Gria1/Nf1/Dgkb/Nrxn3/Dbn1/Adra1a/Pacsin2/Shank3/Abat/Kalrn/Grik1/Myo5b/Cpeb3/Iqsec2",47
"IP","BP","GO:0099177","regulation of trans-synaptic signaling","47/425","461/13697",5.2983409963489e-13,9.39130941602843e-10,8.33791556793854e-10,"Erbb4/Syt2/Map1a/Usp8/Rims4/Calb1/Unc13b/Slc24a2/Rab3b/Grik3/Reln/Cplx1/Nos1/Vgf/Ppp1r9a/Tac1/Oxtr/Slc6a1/Clstn3/Vamp1/Shank1/Kcnc3/Grin2d/Shank2/Dlgap2/Unc13a/Cacna1a/Cntnap4/Gria4/Kmt2a/Cacna2d2/Syne1/Grm1/Gria1/Nf1/Dgkb/Nrxn3/Dbn1/Adra1a/Pacsin2/Shank3/Abat/Kalrn/Grik1/Myo5b/Cpeb3/Iqsec2",47
"IP","CC","GO:0098978","glutamatergic synapse","48/425","487/13939",5.50380459953751e-13,6.43945138145888e-11,4.37407628700086e-11,"Erbb4/Dnm3/Usp8/Rims4/Sv2a/Slc6a17/Calb1/Unc13b/Grik3/Pclo/Cplx1/Nos1/Ppp1r9a/Iqsec1/Grip2/Clstn3/Vamp1/Shank1/Kcnc3/Ntrk3/Shank2/Unc13a/Cacna1a/Gria4/Myo5a/Bsn/Grm1/Grip1/Sptbn1/Gria1/Myh10/Dgkb/Actn1/Actn2/Dbn1/Cadps/Adra1a/Cdh9/Pacsin2/Shank3/Scn8a/Kalrn/Grik1/Itsn1/Dlgap1/Myo5b/Sptbn2/Iqsec2",48
"IP","BP","GO:0050806","positive regulation of synaptic transmission","28/425","176/13697",9.08954003443678e-13,1.07408064740261e-09,9.53604375542666e-10,"Erbb4/Syt2/Rims4/Calb1/Unc13b/Slc24a2/Rab3b/Reln/Nos1/Ppp1r9a/Tac1/Oxtr/Clstn3/Shank1/Grin2d/Shank2/Unc13a/Gria4/Gria1/Nf1/Dbn1/Adra1a/Shank3/Abat/Kalrn/Grik1/Cpeb3/Iqsec2",28
"IP","MF","GO:0003779","actin binding","40/424","359/13615",2.16721304244106e-12,1.27865569504023e-09,1.08360652122053e-09,"Dst/Sptan1/Gsn/Map1a/Macf1/Afap1/Limch1/Ppp1r9a/Mical3/Sptbn4/Actn4/Myh14/Myo16/Myo9a/Myo1e/Myo5a/Syne1/Utrn/Mybpc1/Sptbn1/Mprip/Myh10/Ssh2/Myo18a/Daam1/Syne2/Sptb/Actn1/Clmn/Actn2/Dbn1/Map1b/Flnb/Plec/Myh9/Shank3/Epb41l3/Svil/Myo5b/Dmd",40
"IP","CC","GO:0098984","neuron to neuron synapse","42/425","404/13939",3.02828551840151e-12,2.83447524522381e-10,1.92535205591001e-10,"Dst/Erbb4/Srgap2/Dnm3/Map1a/Usp8/Ank2/Calb1/Unc13b/Macf1/Oprd1/Pclo/Nos1/Ppp1r9a/Iqsec1/Grip2/Iqsec3/Clstn3/Shank1/Grin2d/Shank2/Sorbs2/Gria4/Bsn/Grm1/Grip1/Nefh/Sptbn1/Gria1/Nf1/Srcin1/Actn2/Dbn1/Map1b/Cdh9/Shank3/Scn8a/Kalrn/Grik1/Epb41l3/Dlgap1/Iqsec2",42
