"","Enrich_OR","Enrich_Pval","Deplete_OR","Deplete_Pval","setSize"
"Brain Diseases",1.84189567446386,6.34824491576783e-10,3.25924571831998,8.41363488546114e-33,4622
"Granuloma, Plasma Cell",Inf,6.93826712939355e-09,0,0.999999999999508,2
"Muscular Dystrophy, Animal",Inf,6.93826712939355e-09,0,0.999999999999508,2
"Anxiety Disorders",1.89094772958646,9.21307729552468e-09,3.10027100271003,7.1083601840141e-28,2775
"Substance-Related Disorders",3.13702312034806,1.80284614412779e-08,3.84149305555556,3.16541530452878e-12,347
"Autistic Disorder",3.46147607461476,2.84661412819652e-08,2.51343325791855,0.000968279898543294,273
"Movement Disorders",1.83236033418999,1.39251352132356e-07,3.07699375980136,1.33452886830022e-26,2395
"Nerve Degeneration",1.66638238383501,1.87323283196595e-07,3.24298088410992,5.60241660164357e-31,5730
"Stuttering",8.81766477082636,3.40396439982892e-07,7.82492897727273,1.59502955319867e-05,33
"Sexual Dysfunctions, Psychological",3.0726481924079,6.41956531742272e-07,5.61698458322446,1.29996751130328e-22,288
"Depressive Disorder",1.61910848655558,1.12675017117415e-06,3.3584547062587,1.32844493495446e-33,5242
"Neural Tube Defects",1.63318733395563,1.14311405117006e-06,2.33566052143558,5.72486819987431e-17,4500
"Inflammation",1.91415559298771,1.61215825931059e-06,2.35056982760755,1.60504959115164e-08,12496
"Congenital Abnormalities",1.62394102237546,1.72008290129358e-06,2.14928912401066,8.13791442988199e-14,4416
"Cleft Lip",2.20781629234608,2.88415249922849e-06,2.71583467525497,7.25551310510237e-10,707
"Chromosome 3, monosomy 3p25",61.2436194895592,3.74462445996926e-06,0,0.999999999999995,3
"Epileptic Encephalopathy, Early Infantile, 1",61.2436194895592,3.74462445996926e-06,0,0.999999999999995,3
"Neoplasms",1.58408480636407,3.89176823681516e-06,2.51801836851327,2.01025923857114e-17,8005
"Proteinuria",1.56451305134044,5.06888426451453e-06,2.3499507880147,1.44576282782851e-16,6638
