"ONTOLOGY"	"ID"	"Description"	"setSize"	"enrichmentScore"	"NES"	"pvalue"	"p.adjust"	"qvalues"	"rank"	"leading_edge"	"core_enrichment"
"CC"	"GO:0031012"	"extracellular matrix"	367	0.385624455893477	2.01612373486967	1.9495077492933e-05	0.0012042947636168	0.000945352595664817	3660	c("tags=44%", "list=25%", "signal=34%")	"Colq;Col11a2;Papln;Ecm1;Anxa4;Srpx2;Col27a1;Vwa1;Ache;Adamts8;Kazald1;Col9a3;Serpine1;Ptn;Serpinf1;Col5a2;Lingo3;Lrrc24;Ltbp1;Emilin1;Mmp15;Igfbp7;Crispld2;Rell2;Col22a1;Ctsz;Rarres2;Adamts5;Col26a1;Adamts1;Efemp2;Lrrc32;Hapln1;Plod3;Col1a2;Sod3;Elane;Matn4;Col17a1;Mmp11;Col4a1;Alpl;Col11a1;Hapln2;Col1a1;Bmp1;Adamtsl2;Col6a1;Mmp13;Hpse;Gpc1;Matn3;Adam19;Ibsp;Scara3;Dmp1;Col2a1;Sparc;Egfl7;Fgf9;Col16a1;Bgn;Mmp19;Vegfa;Igfbp6;Adamts15;Col18a1;Col4a2;Adamtsl4;Adamts12;Gpld1;Col9a2;Pmp22;Cthrc1;Adamts10;Anxa5;Tnc;Chadl;Lum;Col6a2;Egflam;Fbln5;Loxl1;Hsd17b12;Entpd1;Ntn1;Col15a1;Nid2;Mmp9;Muc1;Htra1;Col4a5;Plod1;Frem2;Pcsk6;Tgfb2;Pf4;Eln;Mfge8;Hnrnpm;Mmp17;Tgfb1;Gh;Lama5;Col12a1;Tgfbi;Il16;Fgf1;Tril;Tnn;Pkm;Bcan;Serpinb1a;Anxa3;Prg2;Wisp1;Col8a2;Adamtsl5;Wnt5b;Lamb2;Mfap2;Rtn4rl2;Mmp14;Fbn1;Emilin2;Fgfr2;Hapln4;Lgals3;Gfod2;Itih3;Lamb3;Thbs4;Cst3;Clec14a;Itga6;Col24a1;Elfn1;Acan;Col6a3;Lama4;Ssc5d;Col14a1;S100a10;Tinagl1;Ccdc80;Olfml2a;Tsku;Thbs1;Ntn4;Postn;Gpc5;Lamc1;Mmp23;Fbln2;Itgb1;Tgm3;Sparcl1;Megf6;Tgm2;Wnt7a;Thbs2"
"BP"	"GO:0006753"	"nucleoside phosphate metabolic process"	479	0.302534351776052	1.62234368105407	1.94992590281569e-05	0.0012042947636168	0.000945352595664817	3933	c("tags=34%", "list=27%", "signal=26%")	"Adcyap1;Bdnf;Adssl1;Mif;Cox6a1;Chchd10;Pgls;Nppc;Nos3;Adcy3;Enpp1;Nme2;Eif6;Acss1;mt-Nd4l;mt-Atp6;Cdk1;mt-Atp8;Atp5a1;Smpdl3a;Pfkm;Atp5g3;Hkdc1;Pgd;Cox7a1;Nt5c1a;Mvd;mt-Co3;Nt5c;mt-Co2;Nudt7;Dera;Suclg2;Slc37a2;Naprt;Fuk;Ampd2;Adora2b;Aldoc;Ppif;Atp5b;Hsd11b1;Esrrb;Nt5m;Eno4;Ndufs2;Uck2;Pgam1;Gpam;Tkt;Ehhadh;Aspdh;Far2;Uqcrc1;Pnkp;mt-Co1;Atp5g2;Rrm2;Acot11;Cox6a2;Naxe;Hk3;Ctps;Pgk1;Papss2;Atp5d;Sirt6;Aprt;Adsl;Entpd1;G6pdx;Taz;Cyc1;Gucy2e;Nudt9;Ndufb9;Acsl6;Adcy5;Ndufa10;Nmnat3;Nadsyn1;Tgfb1;Cox4i2;Atic;Hsd17b4;Galk1;Cox4i1;Pde12;Tspo;Impdh1;Gart;Gcdh;Ndufc2;Mvk;Pkm;Gars;Tefm;Bad;Shmt2;H6pd;Nmnat1;Sdhc;Ncf2;Mdh2;Hk1;Ldhd;Dlat;Idh3b;Adcy4;Myc;Bcl2l1;Cnp;Ndufb8;Eno3;Suclg1;Hdac4;Coasy;Nipsnap2;Slc25a33;Jmjd8;Nudt17;Ndufv1;Efl1;Atp1a2;Kcnab2;Gale;Pde5a;Actn3;Acat1;Aldoa;Gphn;Sult2b1;Fdxr;Acaa2;Mocs1;Coq9;Nme4;Uqcc3;Acot1;Hmgcs2;Fdx1;Bpgm;Pank4;Acot7;Dcxr;Txnrd1;Dgat1;Mthfd1;Pink1;Crot;Nme1;Mlycd;Park7;Gmpr;Cycs;Gadd45gip1;mt-Cytb;Kars;Galt;Kif5c;Ak1;Tyms;Ppcs"
"BP"	"GO:0009259"	"ribonucleotide metabolic process"	365	0.313374961517946	1.63758836716495	1.95049640133414e-05	0.0012042947636168	0.000945352595664817	3899	c("tags=35%", "list=27%", "signal=26%")	"Adcyap1;Bdnf;Adssl1;Mif;Cox6a1;Chchd10;Nppc;Adcy3;Enpp1;Nme2;Eif6;Acss1;mt-Nd4l;mt-Atp6;Cdk1;mt-Atp8;Atp5a1;Pfkm;Atp5g3;Hkdc1;Cox7a1;Mvd;mt-Co3;mt-Co2;Nudt7;Suclg2;Ampd2;Aldoc;Ppif;Atp5b;Esrrb;Eno4;Ndufs2;Uck2;Pgam1;Gpam;Ehhadh;Far2;Uqcrc1;mt-Co1;Atp5g2;Acot11;Cox6a2;Hk3;Ctps;Pgk1;Papss2;Atp5d;Sirt6;Aprt;Adsl;Entpd1;Taz;Cyc1;Gucy2e;Nudt9;Ndufb9;Acsl6;Adcy5;Ndufa10;Tgfb1;Cox4i2;Atic;Hsd17b4;Galk1;Cox4i1;Pde12;Tspo;Impdh1;Gart;Gcdh;Ndufc2;Mvk;Pkm;Tefm;Bad;Shmt2;Nmnat1;Sdhc;Hk1;Ldhd;Dlat;Adcy4;Myc;Bcl2l1;Ndufb8;Eno3;Suclg1;Hdac4;Coasy;Nipsnap2;Slc25a33;Jmjd8;Ndufv1;Efl1;Atp1a2;Gale;Pde5a;Actn3;Acat1;Aldoa;Gphn;Sult2b1;Acaa2;Mocs1;Coq9;Nme4;Uqcc3;Acot1;Hmgcs2;Bpgm;Pank4;Acot7;Dgat1;Pink1;Crot;Nme1;Mlycd;Park7;Gmpr;Cycs;Gadd45gip1;mt-Cytb;Galt;Kif5c;Ak1"
"BP"	"GO:0019693"	"ribose phosphate metabolic process"	381	0.322756032340921	1.69370762278508	1.95121951219512e-05	0.0012042947636168	0.000945352595664817	3899	c("tags=35%", "list=27%", "signal=26%")	"Adcyap1;Bdnf;Adssl1;Mif;Cox6a1;Chchd10;Pgls;Nppc;Adcy3;Enpp1;Nme2;Eif6;Acss1;mt-Nd4l;mt-Atp6;Cdk1;mt-Atp8;Atp5a1;Pfkm;Atp5g3;Hkdc1;Pgd;Cox7a1;Mvd;mt-Co3;mt-Co2;Nudt7;Suclg2;Ampd2;Aldoc;Ppif;Atp5b;Hsd11b1;Esrrb;Eno4;Ndufs2;Uck2;Pgam1;Gpam;Tkt;Ehhadh;Far2;Uqcrc1;mt-Co1;Atp5g2;Acot11;Pygl;Cox6a2;Hk3;Ctps;Pgk1;Papss2;Atp5d;Sirt6;Aprt;Adsl;Entpd1;G6pdx;Taz;Cyc1;Gucy2e;Nudt9;Ndufb9;Acsl6;Adcy5;Ndufa10;Tgfb1;Cox4i2;Atic;Hsd17b4;Galk1;Cox4i1;Pde12;Tspo;Impdh1;Gart;Gcdh;Ndufc2;Mvk;Pkm;Tefm;Bad;Shmt2;H6pd;Nmnat1;Sdhc;Hk1;Ldhd;Dlat;Adcy4;Myc;Bcl2l1;Ndufb8;Eno3;Suclg1;Hdac4;Coasy;Nipsnap2;Slc25a33;Jmjd8;Ndufv1;Efl1;Atp1a2;Gale;Pde5a;Actn3;Acat1;Aldoa;Gphn;Sult2b1;Acaa2;Mocs1;Coq9;Nme4;Uqcc3;Acot1;Hmgcs2;Bpgm;Pank4;Acot7;Dgat1;Pink1;Crot;Nme1;Mlycd;Park7;Gmpr;Cycs;Gadd45gip1;mt-Cytb;Galt;Kif5c;Ak1"
"BP"	"GO:0006163"	"purine nucleotide metabolic process"	374	0.306959680908653	1.60771959430325	1.95171458125964e-05	0.0012042947636168	0.000945352595664817	3899	c("tags=34%", "list=27%", "signal=26%")	"Adcyap1;Bdnf;Adssl1;Mif;Cox6a1;Chchd10;Nppc;Nos3;Adcy3;Enpp1;Nme2;Eif6;Acss1;mt-Nd4l;mt-Atp6;Cdk1;mt-Atp8;Atp5a1;Pfkm;Atp5g3;Hkdc1;Cox7a1;Mvd;mt-Co3;mt-Co2;Nudt7;Suclg2;Ampd2;Adora2b;Aldoc;Ppif;Atp5b;Esrrb;Eno4;Ndufs2;Pgam1;Gpam;Ehhadh;Far2;Uqcrc1;mt-Co1;Atp5g2;Acot11;Cox6a2;Hk3;Pgk1;Papss2;Atp5d;Sirt6;Aprt;Adsl;Entpd1;Taz;Cyc1;Gucy2e;Nudt9;Ndufb9;Acsl6;Adcy5;Ndufa10;Tgfb1;Cox4i2;Atic;Hsd17b4;Galk1;Cox4i1;Pde12;Tspo;Impdh1;Gart;Gcdh;Ndufc2;Mvk;Pkm;Tefm;Bad;Shmt2;Nmnat1;Sdhc;Hk1;Ldhd;Dlat;Adcy4;Myc;Bcl2l1;Ndufb8;Eno3;Suclg1;Hdac4;Coasy;Nipsnap2;Slc25a33;Jmjd8;Ndufv1;Efl1;Atp1a2;Gale;Pde5a;Actn3;Acat1;Aldoa;Gphn;Sult2b1;Acaa2;Mocs1;Coq9;Nme4;Uqcc3;Acot1;Hmgcs2;Bpgm;Pank4;Acot7;Dgat1;Mthfd1;Pink1;Crot;Nme1;Mlycd;Park7;Gmpr;Cycs;Gadd45gip1;mt-Cytb;Galt;Kif5c;Ak1"
"CC"	"GO:0005743"	"mitochondrial inner membrane"	391	0.30583523215879	1.60931789455919	1.95182886364524e-05	0.0012042947636168	0.000945352595664817	4589	c("tags=41%", "list=31%", "signal=29%")	"Bdnf;Bok;Cox6a1;Ndufb10;Endog;Slc25a1;mt-Nd4l;Smdt1;mt-Atp6;mt-Atp8;Bckdhb;Atp5a1;Timm23;Atp5g3;Mpst;Slc25a10;Cox7a1;mt-Co3;Pam16;mt-Co2;Prodh;Ppif;Atp5b;Ndufs7;Ndufs2;Ndufaf3;Hccs;Gpam;Uqcrc1;AA467197;Sirt5;Spns1;Rhot2;mt-Co1;Atp5g2;Cyb5r3;Marc2;Ppox;Immt;Cox6a2;Cpt1a;Sfxn5;Slc25a39;Phb;Mpv17l2;Slc25a4;Atp5d;Minos1;Spg7;Cyc1;Ndufb9;Fahd1;Ndufa10;Cpt2;Afg3l1;Sirt3;Cox4i2;Polg;Cox4i1;Romo1;Slc25a28;Apoo;Gstk1;Trap1;Slc27a1;Vdac2;Slc1a3;Tomm40;Vdac3;Timm21;Ucp2;Gcdh;Ndufc2;Efhd1;Acadvl;Tufm;Hsd17b10;Shmt2;Crat;Coq5;Smim20;Letm1;Sdhc;Atad3a;Abcb8;Mdh2;Ldhd;mt-Nd3;Lgals3;Bcl2l1;Slc25a37;Cnp;Ndufb8;Tst;Suclg1;Lyn;Phb2;Slc25a33;Aifm3;Immp2l;Ndufv1;Timm50;Ndufa9;Acat1;Pisd;Fdxr;Oxa1l;Acaa2;Coq8b;Mtg2;Coq9;Eci1;Uqcc3;Pcx;Hmgcs2;Dnajc11;Fdx1;Capn10;Ucp3;Mpv17;Hadha;Slc25a19;Aldh18a1;Pink1;Mtx1;Park7;Ndufa13;Cyp27a1;mt-Cytb;Sco1;Bdh1;Tyms;Hadh;Apool;Ndufs3;Cps1;Foxred1;Ndufb2;Timm10b;Sdhb;Slc25a13;Ndufa4l2;Idh2;Letmd1;Mpc2;Sdha;Sqor;Glud1;Etfdh;Src;Sfxn1;Atp5j;Slc25a11;Coq6;Slc3a1;Grpel1;Abca8b;Ociad2;Mtg1"
"BP"	"GO:0009150"	"purine ribonucleotide metabolic process"	355	0.317870029097486	1.65598525719517	1.95240047638572e-05	0.0012042947636168	0.000945352595664817	3933	c("tags=35%", "list=27%", "signal=26%")	"Adcyap1;Bdnf;Adssl1;Mif;Cox6a1;Chchd10;Nppc;Adcy3;Enpp1;Nme2;Eif6;Acss1;mt-Nd4l;mt-Atp6;Cdk1;mt-Atp8;Atp5a1;Pfkm;Atp5g3;Hkdc1;Cox7a1;Mvd;mt-Co3;mt-Co2;Nudt7;Suclg2;Ampd2;Aldoc;Ppif;Atp5b;Esrrb;Eno4;Ndufs2;Pgam1;Gpam;Ehhadh;Far2;Uqcrc1;mt-Co1;Atp5g2;Acot11;Cox6a2;Hk3;Pgk1;Papss2;Atp5d;Sirt6;Aprt;Adsl;Entpd1;Taz;Cyc1;Gucy2e;Nudt9;Ndufb9;Acsl6;Adcy5;Ndufa10;Tgfb1;Cox4i2;Atic;Hsd17b4;Galk1;Cox4i1;Pde12;Tspo;Impdh1;Gart;Gcdh;Ndufc2;Mvk;Pkm;Tefm;Bad;Shmt2;Nmnat1;Sdhc;Hk1;Ldhd;Dlat;Adcy4;Myc;Bcl2l1;Ndufb8;Eno3;Suclg1;Hdac4;Coasy;Nipsnap2;Slc25a33;Jmjd8;Ndufv1;Efl1;Atp1a2;Gale;Pde5a;Actn3;Acat1;Aldoa;Gphn;Sult2b1;Acaa2;Mocs1;Coq9;Nme4;Uqcc3;Acot1;Hmgcs2;Bpgm;Pank4;Acot7;Dgat1;Pink1;Crot;Nme1;Mlycd;Park7;Gmpr;Cycs;Gadd45gip1;mt-Cytb;Galt;Kif5c;Ak1;Ppcs"
"BP"	"GO:0009117"	"nucleotide metabolic process"	472	0.304362859585086	1.62975033607787	1.95407914020518e-05	0.0012042947636168	0.000945352595664817	3933	c("tags=34%", "list=27%", "signal=26%")	"Adcyap1;Bdnf;Adssl1;Mif;Cox6a1;Chchd10;Pgls;Nppc;Nos3;Adcy3;Enpp1;Nme2;Eif6;Acss1;mt-Nd4l;mt-Atp6;Cdk1;mt-Atp8;Atp5a1;Pfkm;Atp5g3;Hkdc1;Pgd;Cox7a1;Nt5c1a;Mvd;mt-Co3;Nt5c;mt-Co2;Nudt7;Dera;Suclg2;Slc37a2;Naprt;Fuk;Ampd2;Adora2b;Aldoc;Ppif;Atp5b;Hsd11b1;Esrrb;Nt5m;Eno4;Ndufs2;Uck2;Pgam1;Gpam;Tkt;Ehhadh;Aspdh;Far2;Uqcrc1;Pnkp;mt-Co1;Atp5g2;Rrm2;Acot11;Cox6a2;Naxe;Hk3;Ctps;Pgk1;Papss2;Atp5d;Sirt6;Aprt;Adsl;Entpd1;G6pdx;Taz;Cyc1;Gucy2e;Nudt9;Ndufb9;Acsl6;Adcy5;Ndufa10;Nmnat3;Nadsyn1;Tgfb1;Cox4i2;Atic;Hsd17b4;Galk1;Cox4i1;Pde12;Tspo;Impdh1;Gart;Gcdh;Ndufc2;Mvk;Pkm;Gars;Tefm;Bad;Shmt2;H6pd;Nmnat1;Sdhc;Ncf2;Mdh2;Hk1;Ldhd;Dlat;Idh3b;Adcy4;Myc;Bcl2l1;Cnp;Ndufb8;Eno3;Suclg1;Hdac4;Coasy;Nipsnap2;Slc25a33;Jmjd8;Nudt17;Ndufv1;Efl1;Atp1a2;Kcnab2;Gale;Pde5a;Actn3;Acat1;Aldoa;Gphn;Sult2b1;Fdxr;Acaa2;Mocs1;Coq9;Nme4;Uqcc3;Acot1;Hmgcs2;Fdx1;Bpgm;Pank4;Acot7;Dcxr;Txnrd1;Dgat1;Mthfd1;Pink1;Crot;Nme1;Mlycd;Park7;Gmpr;Cycs;Gadd45gip1;mt-Cytb;Kars;Galt;Kif5c;Ak1;Tyms;Ppcs"
"BP"	"GO:0001525"	"angiogenesis"	436	0.370421352398616	1.9696005264372	1.95434646654159e-05	0.0012042947636168	0.000945352595664817	3169	c("tags=33%", "list=22%", "signal=27%")	"Scg2;Tnmd;Ddah1;Creb3l1;Ecm1;Srpx2;Plau;Sphk1;Gpx1;Nox1;Ramp3;Tmem100;Serpine1;Ptn;Apln;Serpinf1;Pecam1;Nrarp;Emilin1;Flna;Edn1;S1pr1;Sox18;Tbx1;Jup;Camp;Syk;Ptgs2;Shb;E2f2;Nos3;Adamts1;Unc5b;Sfrp2;Acvrl1;Sema5a;Ecscr;Eng;Pik3r2;Tnfaip2;Htatip2;Id1;Emc10;Vash1;Tie1;Col4a1;Myh9;Epn1;Nfatc4;Mapk7;Jun;Ppp1r16b;Vangl2;Rnh1;Hpse;Adgra2;Rgcc;Stab1;E2f8;Pak4;Ngp;Adora2b;Tgfbr2;Dab2ip;Ceacam1;Sparc;Atp5b;Egfl7;Fgf9;Spry2;Gata2;Eif2ak3;Casp8;Mmp19;Vegfa;Dll1;Col18a1;Sema3e;Col4a2;Ephb4;Cd36;Gpld1;Tek;Hdac5;Pdgfa;Vhl;Adgrb2;Itgb3;Pgk1;Tnfrsf1a;Sirt6;Aplnr;Hspb6;Vash2;Mmp9;Cybb;Cxcr4;Pxn;Nrp1;Ptgis;Klf2;Tgfb2;Pf4;Mfge8;Tnfrsf12a;Akt1;Efna3;Ctnnb1;Sars;Aqp1;Sox17;Fgf1;Brca1;Emp2;Pkm;Plxdc1;Adam15;Apold1;Anxa3;Itga5;Tspan12;Kdr;Col8a2;Plcg1;Tal1;Hdac9;Fmnl3;Fgfr2;Hspb1;Otulin;Lgals3;Cxcl12;Chrna7;Apoh;Mcam;Clec14a;Jmjd8;Vav3;Elk3;Clic4;Notch4;Pik3r3;Card10;Fgfr1;C3;Becn1"
"BP"	"GO:0051186"	"cofactor metabolic process"	406	0.332538235354016	1.75570195166118	1.95656427313637e-05	0.0012042947636168	0.000945352595664817	4325	c("tags=40%", "list=29%", "signal=29%")	"Gpx1;Nox1;Mthfd1l;Ank1;Mif;Chac1;Sardh;Gpx3;Pgls;Eif6;Prdx6;Acss1;Gstz1;Nubp1;Pfkm;Aldh1l1;Hkdc1;Pgd;Spta1;Mvd;mt-Co2;Nudt7;Suclg2;Slc37a2;Naprt;Hp;Hagh;Aldoc;Hsd11b1;Esrrb;Eno4;Eif2ak3;Pgam1;Gpam;Tkt;Mpo;Ehhadh;Aspdh;Far2;Cbr3;Ppox;Acot11;Gch1;Zfp13;Mmab;Pnpo;Naxe;Slc25a39;Hk3;Phyh;Cat;Pgk1;Sirt6;Nubpl;G6pdx;Cybb;Acsl6;Hbq1a;Hmbs;Cox10;Nmnat3;Ggt7;Nadsyn1;Akr7a5;Atic;Hsd17b4;Galk1;Gsto2;Rsad1;Gstk1;Gnmt;Gart;Gcdh;Mvk;Pkm;Akr1a1;Alas1;Shmt2;Nubp2;Coq5;H6pd;Nmnat1;Ncf2;Akr1c18;Nat8;Mocos;Gstt3;Blvrb;Mdh2;Hk1;Hscb;Dlat;Idh3b;Myc;Eno3;Suclg1;Pah;Qdpr;Hdac4;Coasy;Jmjd8;Nudt17;Kcnab2;Gale;Ndufa9;Sptb;Actn3;Acat1;Aldoa;Gphn;Fdxr;Hmgn5;Gamt;Acaa2;Coq8b;Mocs1;Isca1;Hspa9;Coq9;Acot1;Hmgcs2;Snx3;Hpx;Gstm1;Fdx1;Bpgm;Pank4;Acot7;Aldh1l2;Dnmt1;Dcxr;Txnrd1;Dgat1;Prdx2;Blvra;Mthfd1;Pink1;Crot;Spr;Btd;Mlycd;Nfs1;Park7;Cycs;Galt;Tyms;Ppt1;Ppcs;Akr1b8;Gck;Narfl;Gpi1;Gsr;Acot3;Fam96a;Idh2;Mocs3;Ogdh;Tpi1;Stat5b;Iscu;Mpc2;Eno2"
